datetime,NS,EW,UD
2025-12-08T23:15:30.000,-0.001,0.0,-0.0
2025-12-08T23:15:30.010,-0.0,0.001,0.002
2025-12-08T23:15:30.020,0.001,0.0,0.002
2025-12-08T23:15:30.030,0.001,-0.0,0.0
2025-12-08T23:15:30.040,0.0,-0.0,-0.002
2025-12-08T23:15:30.050,-0.0,0.001,-0.001
2025-12-08T23:15:30.060,-0.0,0.001,0.001
2025-12-08T23:15:30.070,0.0,0.0,0.002
2025-12-08T23:15:30.080,0.0,-0.0,0.0
2025-12-08T23:15:30.090,0.0,0.0,-0.001
2025-12-08T23:15:30.100,0.0,0.001,-0.0
2025-12-08T23:15:30.110,0.001,0.0,0.001
2025-12-08T23:15:30.120,0.001,-0.001,0.002
2025-12-08T23:15:30.130,0.0,-0.001,0.001
2025-12-08T23:15:30.140,-0.001,-0.0,0.0
2025-12-08T23:15:30.150,-0.001,0.0,-0.0
2025-12-08T23:15:30.160,-0.0,0.0,-0.0
2025-12-08T23:15:30.170,-0.0,-0.0,-0.001
2025-12-08T23:15:30.180,-0.001,0.0,-0.002
2025-12-08T23:15:30.190,-0.002,0.0,-0.001
2025-12-08T23:15:30.200,-0.002,0.0,0.001
2025-12-08T23:15:30.210,-0.001,0.0,0.001
2025-12-08T23:15:30.220,0.0,0.001,0.0
2025-12-08T23:15:30.230,0.0,0.001,-0.001
2025-12-08T23:15:30.240,0.0,0.0,-0.001
2025-12-08T23:15:30.250,-0.001,-0.0,0.001
2025-12-08T23:15:30.260,-0.002,-0.0,0.001
2025-12-08T23:15:30.270,-0.002,0.001,0.001
2025-12-08T23:15:30.280,-0.001,0.001,0.0
2025-12-08T23:15:30.290,0.0,0.0,0.0
2025-12-08T23:15:30.300,0.0,-0.0,0.001
2025-12-08T23:15:30.310,0.0,0.0,0.001
2025-12-08T23:15:30.320,0.0,0.001,0.001
2025-12-08T23:15:30.330,-0.0,0.001,0.0
2025-12-08T23:15:30.340,-0.0,0.0,0.0
2025-12-08T23:15:30.350,-0.0,-0.0,-0.0
2025-12-08T23:15:30.360,0.0,-0.0,0.0
2025-12-08T23:15:30.370,-0.0,0.0,0.0
2025-12-08T23:15:30.380,-0.0,0.0,0.0
2025-12-08T23:15:30.390,-0.001,-0.0,0.0
2025-12-08T23:15:30.400,-0.001,-0.0,-0.0
2025-12-08T23:15:30.410,-0.001,-0.0,-0.0
2025-12-08T23:15:30.420,-0.0,-0.0,-0.0
2025-12-08T23:15:30.430,-0.0,-0.0,0.0
2025-12-08T23:15:30.440,-0.0,-0.001,0.0
2025-12-08T23:15:30.450,-0.001,-0.001,0.0
2025-12-08T23:15:30.460,-0.001,-0.001,-0.0
2025-12-08T23:15:30.470,-0.0,-0.001,0.0
2025-12-08T23:15:30.480,0.0,-0.001,0.0
2025-12-08T23:15:30.490,-0.0,-0.0,0.0
2025-12-08T23:15:30.500,-0.001,-0.0,0.0
2025-12-08T23:15:30.510,-0.001,-0.0,-0.0
2025-12-08T23:15:30.520,-0.0,-0.001,-0.0
2025-12-08T23:15:30.530,0.0,-0.001,0.001
2025-12-08T23:15:30.540,0.0,-0.001,0.001
2025-12-08T23:15:30.550,-0.0,-0.0,0.001
2025-12-08T23:15:30.560,-0.0,0.0,-0.001
2025-12-08T23:15:30.570,-0.0,0.0,-0.001
2025-12-08T23:15:30.580,-0.0,-0.001,0.0
2025-12-08T23:15:30.590,0.0,-0.001,0.001
2025-12-08T23:15:30.600,0.001,-0.001,0.0
2025-12-08T23:15:30.610,0.001,-0.0,-0.001
2025-12-08T23:15:30.620,-0.0,0.0,-0.001
2025-12-08T23:15:30.630,-0.001,-0.0,0.001
2025-12-08T23:15:30.640,-0.002,-0.001,0.003
2025-12-08T23:15:30.650,-0.001,-0.001,0.001
2025-12-08T23:15:30.660,-0.001,0.0,-0.001
2025-12-08T23:15:30.670,-0.0,0.0,-0.001
2025-12-08T23:15:30.680,-0.0,0.001,0.001
2025-12-08T23:15:30.690,-0.0,0.0,0.002
2025-12-08T23:15:30.700,-0.0,0.0,0.001
2025-12-08T23:15:30.710,-0.001,0.0,-0.0
2025-12-08T23:15:30.720,-0.0,0.0,-0.001
2025-12-08T23:15:30.730,-0.0,-0.0,0.0
2025-12-08T23:15:30.740,0.0,-0.0,0.0
2025-12-08T23:15:30.750,0.0,0.0,-0.001
2025-12-08T23:15:30.760,0.0,0.0,-0.002
2025-12-08T23:15:30.770,-0.001,0.0,-0.001
2025-12-08T23:15:30.780,-0.001,0.0,0.001
2025-12-08T23:15:30.790,-0.001,0.0,0.001
2025-12-08T23:15:30.800,-0.001,0.0,-0.0
2025-12-08T23:15:30.810,-0.001,0.0,-0.001
2025-12-08T23:15:30.820,-0.0,0.0,-0.001
2025-12-08T23:15:30.830,0.001,0.0,0.0
2025-12-08T23:15:30.840,0.001,0.0,0.0
2025-12-08T23:15:30.850,0.001,0.0,0.0
2025-12-08T23:15:30.860,-0.0,0.0,0.0
2025-12-08T23:15:30.870,-0.001,0.0,0.0
2025-12-08T23:15:30.880,-0.0,0.0,0.0
2025-12-08T23:15:30.890,-0.0,0.001,-0.0
2025-12-08T23:15:30.900,-0.0,0.001,-0.001
